a 阿啊
ai 碍呆唉挨矮哀爱
an 厂岸案暗按广安
ang 昂
ao 奥傲袄
ba 巴霸吧罢扒拔把坝八爸疤
bai 百败摆柏拜白伯
ban 办班斑般搬扮拌板版伴半瓣
bang 帮膀棒榜傍绑
bao 剥雹暴胞报抱薄堡保包饱宝爆炮
bei 臂碑北辈悲背蜘贝杯倍备波被
ben 本奔笨
beng 蹦护维
bi 辟臂壁避碧比毕毙逼鄙鼻脾蔽币秘彼笔闭弊必
bian 遍边鞭便编扁变辨辫辩
biao 表标勺
bie 别
bin 宾滨
bing 丙柄兵饼并冰病
bo 百剥玻驳卜魄脖膊般拨博搏播菠薄柏伯波泊
bu 布不步卜捕薄堡怖补部
ca 擦拆
cai 踩睬财才裁菜材采猜彩
can 蚕残餐参灿惭惨
cang 舱藏苍仓
cao 操草槽
ce 厕册侧策测
cen 参
ceng 层曾
cha 叉察插茶查岔差
chai 柴拆差
chan 缠馋铲颤单渐产
chang 厂唱畅昌肠场长倡偿倘尝常敞裳
chao 吵朝抄超钞潮炒
che 尺扯撤车彻
chen 陈臣辰晨趁称秤沉沈尘衬
cheng 承呈撑城乘程称秤成盛惩诚
chi 尺迟驰耻齿吃匙翅持赤斥池
chong 崇虫重种充冲涌
chou 丑酬抽稠愁臭仇筹绸
chu 除厨础出楚储触处锄畜初
chuan 穿喘串船传川
chuang 窗创床闯疮
chui 吹垂锤炊
chun 春唇蠢纯
ci 磁此刺辞词差慈次
cong 聪葱从丛匆
cou 凑
cu 醋协粗数促
cuan 窜
cui 翠脆摧催衰
cun 存蹲寸村
cuo 错
da 打搭塔大达答
dai 逮呆戴带大贷待代袋怠
dan 蛋弹石耽旦胆丹担但单诞淡
dang 挡荡档当党
dao 导刀叨蹈稻倒到岛道盗悼
de 底地的得德
dei 得
deng 凳登等灯
di 底提抵地堤敌的低第笛弟递遥滴帝
dian 殿店点典电垫颠
diao 雕叼吊掉钓鸟调
die 叠蝶跌爹
ding 顶丁定叮盯钉订
diu 丢
dong 动东董栋冬冻洞懂
dou 豆陡逗抖都斗读
du 度督肚赌顿都堵毒杜独读渡
duan 断短段缎锻端
dui 队对堆
dun 吨蹲顿盾
duo 度朵躲夺多惰
e 恶阿额蛾鹅饿
en 恩
er 二而耳儿
fa 发阀罚乏伐法
fan 帆凡贩范翻番反返繁饭犯泛烦
fang 防房坊芳仿纺妨方放访
fei 飞匪费废非蜘肥肺沸
fen 吩坟芬奋粪粉份分纷愤
feng 丰奉凤风峰蜂封缝逢锋讽疯
fo 佛
fou 否
fu 夫附腐府富幅副咐覆肤服腹扶抚赴辅复佛俯傅付伏俘符父斧妇负浮福
ga 夹胳轧
gai 改概盖该溉
gan 干敢肝赶甘杆感秆竿
gang 岗冈刚扛杠缸纲钢港
gao 搞稿糕告膏高
ge 歌哥隔割阁胳搁革葛格合个鸽各盖
gei 给
gen 跟根
geng 更耕颈
gong 工功弓巩贡攻宫共恭躬供红公
gou 购构句够勾狗钩沟
gu 孤顾骨固股古故辜鼓估谷姑
gua 挂括刮瓜
guai 拐乖怪
guan 观冠官罐管馆贯关灌惯
guang 广光
gui 归贵跪鬼柜规桂轨龟
gun 棍滚
guo 国果过锅裹
ha 虾哈
hai 还孩害咳海
han 厂寒喊旱含汗汉
hang 航巷行
hao 号耗好毫豪浩
he 贺吓喝荷核禾和何合盒河
hei 黑
hen 很狠恨痕
heng 横行衡恒
hong 宏虹哄轰红洪烘
hou 厚吼喉后候猴
hu 互虎戏蝴呼胡护壶核糊和乎忽狐户湖
hua 画哗花划化华猾话滑
huai 坏槐划怀
huan 还欢环患唤换幻缓
huang 晃荒黄皇谎煌慌
hui 灰回贿慧挥惠会绘毁汇恢辉悔
hun 魂昏婚浑混
huo 获或惑和货伙活火祸
ji 击际既己即忌鸡及几寄肌技挤圾吉其革期基奇极机积季系集纪级绩籍继给急饥剂齐迹记计激脊济疾
jia 夹加驾架甲脚搅嘉茄稼假佳价缴绞嫁角饺狡家
jian 歼建艰坚监鉴见践舰贱拣捡援茧荐检健俭件简箭剑奸键肩间兼剪煎减浅渐尖
jiang 降强疆匠虹僵讲姜酱将奖桨浆江
jiao 骄叫嚼脚胶搅教蕉椒校轿较焦缴绞角娇饺狡觉浇交郊
jie 阶届皆界揭捷接截劫节戒杰街借价结籍介姐解家洁竭
jin 进晋尽劲紧巾禁近斤仅金筋今锦谨浸津
jing 井劲颈晶睛景静境茎敬警精径经镜京净惊竞竟
jiu 九旧究揪救纠久舅就酒
ju 巨剧居局聚距且具拒据拘菊鞠柜橘车矩俱句锯举惧
juan 圈捐俊倦绢卷
jue 嚼脚掘绝角决觉
jun 君军均菌俊龟
ka 卡
kai 开凯慨
kan 刊砍堪看
kang 康扛抗糠炕
kao 靠考烤
ke 可客咳颗克壳棵科刻课渴
ken 垦恳肯
keng 坑
kong 孔恐空控
kou 寇口扣
ku 哭酷苦枯库裤
kua 跨挎垮夸
kuai 块会快
kuan 宽款
kuang 矿旷框筐狂况
kui 亏葵愧
kun 困昆捆
kuo 阔括扩适
la 啦蜡喇腊拉垃蓝落辣
lai 来赖
lan 览拦蓝栏篮兰滥懒烂
lang 廊狼郎朗浪
lao 捞老劳落络姥牢涝
le 了勒乐
lei 雷累勒类垒泪
leng 冷
li 丽栗隶力厉历厘励理璃里李梨犁黎粒利例狸离立礼
lia 俩
lian 廉联帘脸莲连练镰链恋炼怜
liang 两量粮辆俩良亮凉谅梁粱
liao 了辽料僚疗
lie 列裂烈猎劣
lin 临林秘邻淋
ling 陵灵龄岭零另伶领令铃
liu 陆碌柳榴留刘溜流六
long 隆弄拢龙聋垄笼
lou 露搂楼漏
lu 陆录鹿虏碌露路芦绿鲁炉六
luan 乱卵
lue 略掠lue:略掠
lun 轮论
luo 骡骆螺罗萝落箩络锣
lv 屡虑驴律绿旅率滤
ma 麻摩马码吗蚂骂抹么妈
mai 麦迈买脉卖埋
man 瞒埋馒蛮漫满慢
mang 芒茫盲忙
mao 矛帽冒茅茂毛贸貌猫
me 么
mei 眉霉梅每妹美谜没煤
men 们门闷
meng 孟盟蒙萌梦猛
mi 密蜜眯米迷秘谜
mian 面眠棉绵免勉
miao 描苗秒妙庙
mie 灭蔑
min 民敏
ming 鸣明盟命名
mo 无末万磨魔摩墨默冒膜脉抹摸莫模沫没漠
mou 某谋
mu 目幕暮墓慕木模母姥牧亩
na 那哪呢南纳拿
nai 耐乃哪奶
nan 难男南
nang 囊
nao 闹脑挠努恼
ne 哪呢
nei 那内哪
nen 嫩
neng 能
ni 尼尿呢你逆泥
nian 酿粘年念
niang 酿娘
niao 尿鸟
nie 捏
nin 您
ning 宁凝
niu 扭纽牛
nong 弄农浓
nu 女奴努怒
nuan 暖
nuo 挪
nv 女
ou 区欧偶
